2026年冬アニメ,,,
作品名,OP/ED,歌手,曲名
青のミブロ—芹沢暗殺編—,OP,Ryosuke Yamada,Blue Noise
青のミブロ—芹沢暗殺編—,ED,崎山蒼志,泡沫
悪魔くん,OP,未定,未定
悪魔くん,ED,未定,未定
悪役令嬢は隣国の王太子に溺愛される,OP,高垣彩陽feat.城田優,愛のファンファーレ
悪役令嬢は隣国の王太子に溺愛される,ED,高垣彩陽feat.城田優,魔法の音
有栖川煉ってホントは女なんだよね。,ED,sammy,僕とのひめゴト
アルネの事件簿,OP,Sou,Q.E.D.
アルネの事件簿,ED,小林私,人形の街
アンデッドアンラック ウィンター編,OP,女王蜂,1
アンデッドアンラック ウィンター編,ED,女王蜂,2
アンドロイドは経験人数に入りますか？？,OP,栗駒こまる（あおぎり高校）,アンドロイドde新時代
違国日記,OP,TOMOO,ソナーレ
違国日記,ED,Bialystocks,言伝
異世界の沙汰は社畜次第,OP,kobore,Magic
異世界の沙汰は社畜次第,ED,MORISAKI WIN（森崎ウィン）,Back to Back
イチゴ哀歌,OP,,
イチゴ哀歌,ED,あかしゆき&乙倉ゅい,
うるわしの宵の月,OP,UNISON SQUARE GARDEN,うるわし
うるわしの宵の月,ED,UNISON SQUARE GARDEN,アザレアの風
MFゴースト(3rd Season),OP,芹澤優,TIMELESS POWER feat. MOTSU
MFゴースト(3rd Season),ED,Himika Akaneya（茜屋日海夏）,予感の途中 Prod. ☆Taku Takahashi (m-flo)
エリスの聖杯,OP,鷲尾伶菜,Happy Ever After feat. 由薫
炎炎ノ消防隊 参ノ章(第2クール),OP,西川貴教,Ignis -イグニス-
炎炎ノ消防隊 参ノ章(第2クール),ED,Survive Said The Prophet,ウルサイレン
お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～,OP,中島怜,おきらくぜ～しょん
お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～,ED,大渕野々花,Make it
幼馴染とはラブコメにならない,OP,HoneyWorks meets(水萌汐・火威灯・月見るな・日向春),あいらびゅ♡
幼馴染とはラブコメにならない,ED,小玉ひかり,あまのじゃく
推しの子(第3期),OP,ちゃんみな,TEST ME
推しの子(第3期),ED,なとり,
穏やか貴族の休暇のすすめ。,OP,牧島輝,Gypso
穏やか貴族の休暇のすすめ。,ED,直田姫奈,うっすら
「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,OP,PassCode,Liberator
「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,ED,田中有紀,I need
お前はまだグンマを知らない～令和版～,OP,,
お前はまだグンマを知らない～令和版～,ED,出口雅之,上毛かるた～令和版
カードファイト!! ヴァンガード Divinez 幻真星戦編,OP,V.W.P,幻界
カードファイト!! ヴァンガード Divinez 幻真星戦編,ED,RealRomantic,Part of the Life
かぐや様は告らせたい 大人への階段,OP,鈴木雅之 feat.古賀葵,アブナイキオク
かぐや様は告らせたい 大人への階段,ED,四宮かぐや(CV.古賀葵),heart notes
#神奈川に住んでるエルフ,OP,,
#神奈川に住んでるエルフ,ED,The Folie Phantom,
カヤちゃんはコワくない,OP,ヰ世界情緒,
カヤちゃんはコワくない,ED,朔雀＆導凰,Playmour feat. カヤちゃん
牙狼＜GARO＞ 東ノ界楼,OP,,
牙狼＜GARO＞ 東ノ界楼,ED,,
貴族転生 ～恵まれた生まれから最強の力を得る～,OP,SUPER★DRAGON,Break off
貴族転生 ～恵まれた生まれから最強の力を得る～,ED,アリーチェ（CV：橘杏咲）,You'll Be In My Heart 〜そばに〜
綺麗にしてもらえますか。,OP,ゆう。,綺麗。
綺麗にしてもらえますか。,ED,清浦夏実,若葉のころ
拷問バイトくんの日常,OP,GRANRODEO,GO GO PARADISE!!
拷問バイトくんの日常,ED,寺島拓篤,明日天気になぁれ
ゴールデンカムイ 最終章,OP,Awich × ALI,黄金の彼方
ゴールデンカムイ 最終章,ED,Ken Yokoyama,The Ballad
最推しの義兄を愛でるため、長生きします！,OP,,
最推しの義兄を愛でるため、長生きします！,ED,蒼井翔太,キミ攻略ゲーム
時光代理人 -LINK CLICK- 英都篇,OP,Gen Kakon,Dive Back In Time
時光代理人 -LINK CLICK- 英都篇,ED,EAERAN,OverThink
地獄先生ぬ～べ～(第2クール),OP,THE ORAL CIGARETTES,ERASE
地獄先生ぬ～べ～(第2クール),ED,Ayumu Imazu,MAGICAL
地獄楽(第二期),OP,キタニタツヤ feat. BABYMETAL,かすかなはな
地獄楽(第二期),ED,ED,PERSONAL
死亡遊戯で飯を食う。,OP,LIN,¬Ersterbend
死亡遊戯で飯を食う。,ED,藤川千愛,祈り
シャンピニオンの魔女,OP,ロス,魔法使いの日記
シャンピニオンの魔女,ED,Ms.OOJA,君は
終末のワルキューレⅢ,OP,GLAY,Dead Or Alive
終末のワルキューレⅢ,ED,早見沙織,"Last breath, Last record"
呪術廻戦(死滅回游 前編),OP,King Gnu,AIZO
呪術廻戦(死滅回游 前編),ED,jo0ji,よあけのうた
人外教室の人間嫌い教師,OP,オーイシマサヨシ,ニンゲン
人外教室の人間嫌い教師,ED,水月鏡花(CV：雨宮天)、尾々守一咲(CV：大西沙織)、右左美彗(CV：長縄まりあ)、羽根田トバリ(CV.田辺留依),人間カムトゥルー！
聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2,OP,小岩井ことり,
聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2,ED,,
正反対な君と僕,OP,乃紫,メガネを外して
正反対な君と僕,ED,ピュア feat. 橋本絵莉子,
葬送のフリーレン(第2期),OP,Mrs. GREEN APPLE,lulu.
葬送のフリーレン(第2期),ED,milet,未定
ダーウィン事変,OP,Official髭男dism,Make Me Wonder
ダーウィン事変,ED,a子,Turn It Up
DARK MOON　-黒の月: 月の祭壇-,OP,ENHYPEN,One In A Billion (Japanese Ver.)
DARK MOON　-黒の月: 月の祭壇-,ED,ENHYPEN,CRIMINAL LOVE
DARK MOON　-黒の月: 月の祭壇-,ED,ENHYPEN,Fatal Trouble
多聞くん今どっち！？,OP,F/ACE,Sweet Magic
多聞くん今どっち！？,ED,F/ACE,花と夢
デッドアカウント,OP,五十嵐ハル,デッドエンド
デッドアカウント,ED,金子みゆ,来世はどうせ
Duel Masters LOST ～忘却の太陽～,OP,月詠み,ナラティブ
Duel Masters LOST ～忘却の太陽～,ED,ニイカ(CV:菱川花菜),カンターレ
転生したらドラゴンの卵だった,OP,Sizuk,Gliding Claw
転生したらドラゴンの卵だった,ED,導凰 & 朔雀,Sky Clipper
どうせ、恋してしまうんだ。 Season2,OP,ME:I,LとR
どうせ、恋してしまうんだ。 Season2,ED,berry meet,初恋
透明男と人間女～そのうち夫婦になるふたり～,OP,阿部真央,Ding-dong
透明男と人間女～そのうち夫婦になるふたり～,ED,石原夏織,星眼鏡
TRIGUN STARGAZE,OP,ano,ピカレスクヒーロー
TRIGUN STARGAZE,ED,FOMARE,スターダスト
29歳独身中堅冒険者の日常,OP,HoneyWorks feat.Hanon,君が灯してくれた光を今
29歳独身中堅冒険者の日常,ED,HoneyWorks feat.Kotoha（ハコニワリリィ）,君の隣は空気が美味しい
ハイスクール！奇面組,OP,BREIMEN,ファンキースパイス feat.TOMOO
ハイスクール！奇面組,ED,離婚伝説,ステキッ！！
花ざかりの君たちへ,OP,YOASOBI,アドレナ
花ざかりの君たちへ,ED,YOASOBI,BABY
ヴィジランテ -僕のヒーローアカデミア ILLEGALS-（第2期）,OP,すりぃ,CATCH!!!
ヴィジランテ -僕のヒーローアカデミア ILLEGALS-（第2期）,ED,シャイトープ,ミス・ユー
火喰鳥 羽州ぼろ鳶組,OP,ポルノグラフィティ,はみだし御免
火喰鳥 羽州ぼろ鳶組,ED,大泉洋,陽炎
姫様“拷問”の時間です(第2期),OP,ILLIT,Sunday Morning
姫様“拷問”の時間です(第2期),ED,『ユイカ』,お姫様にはなれない
Fate/strange Fake,OP,SawanoHiroyuki[nZk],PROVANT
Fate/strange Fake,ED,13.3g,潜在的なアイ
プリズム輪舞曲,OP,Chilli Beans.,star flower
プリズム輪舞曲,ED,,
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,OP,あたらよ,ハク
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,ED,花耶,Sanctuary
北斗の拳 拳王軍ザコたちの挽歌,OP,イツカ▶,Blacker Co.
北斗の拳 拳王軍ザコたちの挽歌,ED,The Canbellz,Elegy of the Enemies
ほっぺちゃん ～サン王国と黒ほっぺ団の秘密～,OP,EXILE B HAPPY,Hope & Jump (feat. Crystal Kay)
ほっぺちゃん ～サン王国と黒ほっぺ団の秘密～,ED,あみゅどる,とっておきあげちゃうよ
魔王の娘は優しすぎる!!,OP,石原夏織,We Can Do!!
魔王の娘は優しすぎる!!,IN1,ドゥ(CV.久野美咲),たのしいかくれんぼ
魔王の娘は優しすぎる!!,ED,ジャヒー（CV.大橋彩香）、ドゥ（CV.久野美咲）、アーリマン（CV.大塚明夫）,いっこにこにこ
魔術師クノンは見えている,OP,ヰ世界情緒,ラケナリアの夢
魔術師クノンは見えている,ED,KOHTA YAMAMOTO,Story feat. katagiri
魔都精兵のスレイブ(2),OP,鬼頭明里,光よ、僕に。
魔都精兵のスレイブ(2),ED,花澤香菜,Cipher Cipher
真夜中ハートチューン,OP,星街すいせい,月に向かって撃て
真夜中ハートチューン,ED,Soala,声の軌跡
メダリスト(第2期),OP,HANA,Cold Night
メダリスト(第2期),ED,Conton Candy,Rookies
闇芝居 十六期,OP,yosugala,マスカレイドナイト
闇芝居 十六期,ED,,
勇者刑に処す 懲罰勇者9004隊刑務記録,OP,SPYAIR,Kill the Noise
勇者刑に処す 懲罰勇者9004隊刑務記録,ED,,
勇者のクズ,OP,TOOBOE,GUN POWDER
勇者のクズ,ED,紫今,メンタルレンタル
勇者パーティーにかわいい子がいたので、告白してみた。,OP,吉乃,Lavish!!
勇者パーティーにかわいい子がいたので、告白してみた。,ED,大宮陽和,キミ攻略ゲーム
勇者パーティを追い出された器用貧乏,OP,常闇トワ,シルベ
勇者パーティを追い出された器用貧乏,ED,Nowlu,sukuu
鎧真伝サムライトルーパー,OP,blankpaper,YOAKE
鎧真伝サムライトルーパー,ED,ONEOREIGHT,POWER
青のオーケストラ(Season2),OP,Galileo Galilei,アマデウス
青のオーケストラ(Season2),ED,チョーキューメイ,青の魔法
ガングリオン,OP,NIKO NIKO TAN TAN,ミラクル
ガングリオン,ED,,
SI-VIS,OP2,SI-VIS,スーパーノヴァ
SI-VIS,ED2,SI-VIS,Singing Over
DIGIMON BEATBREAK,OP,MADKID,Mad Pulse
DIGIMON BEATBREAK,ED,冨岡愛,beat up
不滅のあなたへ(Season3),OP,Perfume,ふめつのあなた
不滅のあなたへ(Season3),ED,Perfume,Recollections
東島丹三郎は仮面ライダーになりたい,OP,TeddyLoid feat. Shigeru Matsuzaki & TOPHAMHAT-KYO,Wanna be
東島丹三郎は仮面ライダーになりたい,ED,TeddyLoid feat. 時任良治,ワンモアタイム
,,,
2025年秋アニメ,,,
作品名,OP/ED,歌手,曲名
青のオーケストラ(Season2),OP,Galileo Galilei,アマデウス
青のオーケストラ(Season2),ED,チョーキューメイ,青の魔法
悪食令嬢と狂血公爵,OP,AVAM,シュガリー・ストーリー
悪食令嬢と狂血公爵,ED,土岐隼一,希望光度
ある日、お姫様になってしまった件について,OP,Daoko,いいよ
ある日、お姫様になってしまった件について,ED,XAI,その瞳で
アルマちゃんは家族になりたい,OP,ZAQ,ドラマチックオーバーレイ
アルマちゃんは家族になりたい,ED,花譜,ありふれてたい
暗殺者である俺のステータスが勇者よりも明らかに強いのだが,OP,VESPERBELL,一閃
暗殺者である俺のステータスが勇者よりも明らかに強いのだが,ED,BONNIE PINK,Like Gravity
異世界かるてっと３,OP,アインズ、カズマ、スバル、ターニャ,異世界こんちぇると
異世界かるてっと３,ED,鈴木このみ 伊東歌詞太郎,君色、僕色
うごく！ねこむかしばなし,ED,ハク。,夢中猫
ウマ娘 シンデレラグレイ(第2クール),OP,10-FEET,スパートシンドローマー
ウマ娘 シンデレラグレイ(第2クール),ED,オグリキャップ、タマモクロス,ふたり
笑顔のたえない職場です。,OP,HoneyWorks feat.ハコニワリリィ,絶対称賛！
笑顔のたえない職場です。,ED,Sizuk,Thankful
顔に出ない柏田さんと顔に出る太田君,OP,はしメロ,百面相
顔に出ない柏田さんと顔に出る太田君,ED,三月のパンタシア,あまのじゃくヒーロー
科学×冒険サバイバル！(第2シリーズ),OP,MORISAKI WIN,ネバネバ
かくりよの宿飯(弐),OP,東山奈央,とおりゃんせ
かくりよの宿飯(弐),ED,東山奈央,涙のレシピ
かくりよの宿飯(弐),ED2,津場木葵(CV.東山奈央)大旦那(CV.小西克幸),涙のレシピ×ひと匙の光
元祖！バンドリちゃん,OP,香澄×蘭×彩×友希那×こころ×ましろ×レイヤ×燈×ドロリス×あられ,元祖！バンドリちゃんのテーマ
機械じかけのマリー,OP,春茶,ホントトウソ
機械じかけのマリー,ED,マリー(東山奈央),Cross heart～偽りのない気持ち
機械じかけのマリー,ED2,マリー(東山奈央)&マリー2(小清水亜美),Cross heart～偽りのない気持ち
キミと越えて恋になる,OP,CHiCO with HoneyWorks,くすぐったい
キミと越えて恋になる,ED,神山羊,きみになれたら
キャッツ♥アイ,ED,Ado,CAT'S EYE
ギルティホール,ED,橘あさひ,愛・夢Guilty
キングダム 第6シリーズ,OP,いきものがかり,生きて、燦々
キングダム 第6シリーズ,ED,友成空,咆哮
グノーシア,OP,MAISONdes,化けの皮
グノーシア,ED,凛として時雨,Loo％ Who％
グノーシア,ED,梅田サイファー,FLOOR KILLER
結婚指輪物語Ⅱ,OP,Sizuk,Daybreak
結婚指輪物語Ⅱ,ED,鬼頭明里,any if
最後にひとつだけお願いしてもよろしいでしょうか,OP,CHiCO with HoneyWorks,戦場の華
最後にひとつだけお願いしてもよろしいでしょうか,ED,シユイ,インフェリア
さわらないで小手指くん,OP,UtaGe!,U.K.U
さわらないで小手指くん,ED,Palette Parade,上々↑ハイテンション
SANDA,OP,yama,アダルトチックチルドレン
SANDA,ED,崎山蒼志,ダイアリー
3年Z組銀八先生,OP,ぼっちぼろまる,桜風
3年Z組銀八先生,ED,LONGMAN,Underclass HERO
SI-VIS,OP,SI-VIS,So Far Away
SI-VIS,IN,SI-VIS,MELODEA
SI-VIS,IN,SI-VIS,幻想曲(アラベスク)を君に
SI-VIS,IN,SI-VIS,Braver Dreamer
SI-VIS,ED,SI-VIS,FRIENDS ＆ SMILE
しゃばけ,OP,くじら,いのちのパレヱド
しゃばけ,ED,KAFUNÉ,脈脈
終末ツーリング,OP,Conton Candy,Touring
終末ツーリング,ED,Myuk,グライド
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,OP,丁,閃より雷や、更りや高き
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,ED,Nowlu,シロガラス
SPY×FAMILY(Season 3),OP,スピッツ,灯を護る
SPY×FAMILY(Season 3),ED,幾田りら,Actor
素材採取家の異世界旅行記,OP,Nornis,Prologue 
素材採取家の異世界旅行記,ED,なきごと,夢幻トリップ
太陽よりも眩しい星,OP,秦基博,Stellar Days
太陽よりも眩しい星,ED,和ぬか,最新話
父は英雄、母は精霊、娘の私は転生者。,OP,果歩,魔法
父は英雄、母は精霊、娘の私は転生者。,ED,ゆいにしお,Family
千歳くんはラムネ瓶のなか,OP,Kucci,ライアー
千歳くんはラムネ瓶のなか,ED,サイダーガール,陽炎
ちゃんと吸えない吸血鬼ちゃん,OP,H△G,青春のシルエット
ちゃんと吸えない吸血鬼ちゃん,ED,"H△G, 石川月菜（CV.田中美海）",線香花火
ディズニー ツイステッドワンダーランド ザ アニメーション シーズン1「エピソード オブ ハーツラビュル」,OP,Night Ravens,Piece of my world
ディズニー ツイステッドワンダーランド ザ アニメーション シーズン1「エピソード オブ ハーツラビュル」,ED,ハーツラビュル寮,Obedience
DIGIMON BEATBREAK,OP,MADKID,Mad Pulse
DIGIMON BEATBREAK,ED,富岡愛,beat up
デブとラブと過ちと！,OP,GANG PARADE,Happy Yummy Lucky Yummy
デブとラブと過ちと！,ED,内田雄馬,私でよかった
転生悪女の黒歴史,OP,KID PHENOMENON from EXILE TRIBE,Black Flame
転生悪女の黒歴史,ED,Zerofrom,リジェネ
東島丹三郎は仮面ライダーになりたい,OP,TeddyLoid feat. Shigeru Matsuzaki & TOPHAMHAT-KYO,Wanna be
東島丹三郎は仮面ライダーになりたい,ED,TeddyLoid feat. 時任良治,ワンモアタイム
友達の妹が俺にだけウザい,OP,赤見かるび,ウザ可愛くて何が悪い！
友達の妹が俺にだけウザい,ED,こはらなむ,星の鼓動
永久のユウグレ,OP,Uru,プラットフォーム
永久のユウグレ,ED,Hana Hope,Two Of Us
とんでもスキルで異世界放浪メシ2,OP,CENT,yummy goodday
とんでもスキルで異世界放浪メシ2,ED,chelmico,SALT AND PEPPER
嘆きの亡霊は引退したい(第2クール),OP,安野希世乃,アルゴリズム
嘆きの亡霊は引退したい(第2クール),ED,i☆Ris,夢へのヒトカケラ
2200年ねこの国ニッポン,OP,マツヤマイカ,琥珀色のロンリネス
忍者と極道,OP,MIYAVI,
忍者と極道,ED,"Fear, and Loathing in Las Vegas",Until You Die Out
野原ひろし 昼メシの流儀,OP,Mega Shinnosuke,ごはん食べヨ
野原ひろし 昼メシの流儀,ED,サバシスター,今日のごはんはなんだろな
破産富豪(The Richest Man in GAME),OP,いれいす,Empty Heart
破産富豪(The Richest Man in GAME),ED,眞白かのん,ピカループ
百姓貴族(3rd Season),OP,pachae,陰になり日向にな
百姓貴族(3rd Season),ED,,
不器用な先輩。,OP,angela,不器用なI love you
不器用な先輩。,ED,前島亜美,不器用に 君のとなり
不滅のあなたへ Season3,OP,Perfume,不滅のあなた
不滅のあなたへ Season3,ED,浜渦正志,Recollections
陛下わたしを忘れてください,OP,松浦航大,Melting White
陛下わたしを忘れてください,ED,,
ポーション、わが身を助ける,OP,TRiDENT,恋のマジックポーション
ポーション、わが身を助ける,ED,TRiDENT,MIRACRAID
僕のヒーローアカデミア(FINAL SEASON),OP,ポルノグラフィティ,THE REVO
僕のヒーローアカデミア(FINAL SEASON),ED,BUMP OF CHICKEN,I
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す,OP,秋山黄色,Quest
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す,ED,aruma,欠片
無職の英雄 ～別にスキルなんか要らなかったんだが～,OP,花耶,Reincarnation
無職の英雄 ～別にスキルなんか要らなかったんだが～,ED,ウタヒメドリームオールスターズ,奇跡なんかいらない
モンスターストライク　デッドバースリローデッド,OP,Da-iCE,Monster
野生のラスボスが現れた！,OP,岸田教団＆THE明星ロケッツ,レベルを上げて物理で殴る
野生のラスボスが現れた！,ED,長瀬有花,ミギヒダリ
矢野くんの普通の日々,OP,FANTASTICS,POP LIFE
矢野くんの普通の日々,ED,iScream(ラブライブ),Better Off
らんま1/2(第2期),OP,水曜日のカンパネラ,ウォーアイニー
らんま1/2(第2期),ED,にしな,パンダガール
龍族Ⅱ -The Mourner's Eyes-,OP,Hazel Fernandes,
龍族Ⅱ -The Mourner's Eyes-,ED,ASCA,Giver
Letʼs Play クエストだらけのマイライフ,OP,久保田利伸,"1, 2, Play"
Letʼs Play クエストだらけのマイライフ,ED,久保田利伸,Left & Right
羅小黒戦記,OP,Aimer,Pastoral
私を喰べたい、ひとでなし,OP,吉乃,贄-nie-
私を喰べたい、ひとでなし,ED,八百歳比名子（CV：上田麗奈）,リリィ
ワンダンス,OP,BE:FIRST,Stare In Wonder
ワンダンス,ED,ELSEE,Wondrous
ワンパンマン(第3期),OP,JAM Project feat.BABYMETAL,Get No Satisfied !
ワンパンマン(第3期),ED,古川慎,そこに有る灯り
ガチアクタ,OP,LET’S JUST CRASH,Mori Calliope
ガチアクタ,ED,カラノア,番
桃源暗鬼,OP,超学生,阿弥陀籤
桃源暗鬼,ED,eill,ACTION
ふたりソロキャンプ,OP,スカート,灯りは遠く
ふたりソロキャンプ,ED,オーイシマサヨシ,ふたりキャンプ
渡くんの××が崩壊寸前,OP,ユイカ,ゆうれいになりたい
渡くんの××が崩壊寸前,ED,平手友梨奈,失敗しないメンヘラの育て方
